City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
159,Eirunepe,BR,76.77,moderate rain,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
161,Madang,PG,82.85,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
168,Yeppoon,AU,82.18,clear sky,-23.1333,150.7333,Villa Mar Colina
169,Buala,SB,84.47,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
173,Sao Filipe,CV,75.78,broken clouds,14.8961,-24.4956,Hotel Xaguate
175,Canavieiras,BR,76.82,broken clouds,-15.675,-38.9472,Bahiadomizil
177,San Luis,AR,71.2,clear sky,-33.295,-66.3356,Huarpes Hotel
178,Ondjiva,AO,75.36,clear sky,-17.0667,15.7333,COMBUESA
179,Nishihara,JP,71.26,scattered clouds,26.1842,127.7558,Minshuku Agaihama
180,Bulnes,CL,72.36,scattered clouds,-36.7423,-72.2985,Casa de Adobe
185,Byron Bay,AU,78.71,clear sky,-28.65,153.6167,Backpackers Inn
191,Kambam,ID,77.22,moderate rain,5.2505,96.8629,Rumah Rizkina Olshops
195,Samarai,PG,84.2,overcast clouds,-10.6167,150.6667,Nuli Sapi
196,Chirongui,YT,78.73,clear sky,-12.9319,45.1483,La Villa Mahatsara
197,Srandakan,ID,75.74,overcast clouds,-7.9386,110.2506,Puri Brata
198,Mahebourg,MU,71.26,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
200,Nelson Bay,AU,73.11,clear sky,-32.7167,152.15,Mantra Nelson Bay
201,Palmas Bellas,PA,79.25,moderate rain,9.2319,-80.0867,Antigua Residencia Galván
202,Kavieng,PG,84.67,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
203,Biak,ID,79.65,overcast clouds,-0.9131,122.8766,Penginapan Kim
206,Daru,PG,82.02,overcast clouds,-9.0763,143.2092,Daru Lodge
208,Curumani,CO,76.06,broken clouds,9.1999,-73.5427,Hotel Mayumir
209,Elesbao Veloso,BR,81.99,broken clouds,-6.2019,-42.1403,Pousada Paraiso
211,Caravelas,BR,76.68,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
212,Vao,NC,74.61,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
213,Cordoba,AR,75.42,clear sky,-31.4135,-64.1811,Hotel Sussex
214,Arraial Do Cabo,BR,78.66,thunderstorm,-22.9661,-42.0278,Pousada Porto Praia
215,Hithadhoo,MV,81.86,overcast clouds,-0.6,73.0833,Scoop Guest House
216,Bandarbeyla,SO,78.1,clear sky,9.4942,50.8122,JABIR HOTEL
219,Kismayo,SO,78.21,light rain,-0.3582,42.5454,Agan-Hotel
221,Sinnamary,GF,79.43,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
224,Bellavista,PE,78.69,overcast clouds,-7.0561,-76.5911,Hospedaje Bella Durmiente
231,Hambantota,LK,75.65,overcast clouds,6.1241,81.1185,Bungalow 63
235,Vangaindrano,MG,70.83,light rain,-23.35,47.6,Hotel Fanilo
244,Bubaque,GW,83.53,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
245,Wajir,KE,78.85,scattered clouds,1.7471,40.0573,Mahatallah Hotel
246,Anloga,GH,81.5,few clouds,5.7947,0.8973,Pin Drop Hotel
250,Kirakira,SB,85.06,scattered clouds,-10.4544,161.9205,SanBiz Lodge
258,Takoradi,GH,78.66,light rain,4.8845,-1.7554,Raybow International Hotel
263,Kihei,US,86.02,scattered clouds,20.785,-156.4656,Maui Sunset
264,Qeshm,IR,78.67,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
265,Alta Floresta,BR,71.47,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
270,Gurupa,BR,79.38,scattered clouds,-1.405,-51.64,Hotel Vitória
272,Honiara,SB,84.72,broken clouds,-9.4333,159.95,Heritage Park Hotel
276,Batuan,PH,75.78,overcast clouds,9.7808,124.1484,Mioki Hometel
277,Souillac,MU,71.06,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
283,Hue,VN,77.11,broken clouds,16.4667,107.6,Saigon Morin Hotel
284,Nouadhibou,MR,70.34,clear sky,20.931,-17.0347,El Medina
286,Urucui,BR,82.36,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
287,Mandera,KE,79.75,clear sky,3.9366,41.867,Red Sea Resort & Suites Mandera County
291,Maumere,ID,82.54,broken clouds,-8.6199,122.2111,Sylvia Hotel
297,Isangel,VU,81.41,clear sky,-19.55,169.2667,Tanna Lodge
301,Mana,GF,79.32,scattered clouds,5.6592,-53.7767,LE SAMANA
303,Gunjur,GM,80.56,overcast clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
305,Alyangula,AU,83.3,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
306,Cayenne,GF,80.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
308,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Pirineos
316,Cabo San Lucas,MX,82.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
322,Manaus,BR,86.49,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
