City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Vao,NC,-22.6667,167.4833,74.61,73,47,5.95,scattered clouds
213,Cordoba,AR,-31.4135,-64.1811,75.42,35,0,4.61,clear sky
214,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,83,40,13.8,thunderstorm
215,Hithadhoo,MV,-0.6,73.0833,81.86,75,100,16.64,overcast clouds
216,Bandarbeyla,SO,9.4942,50.8122,78.1,71,1,13.94,clear sky
217,Venezuela,VE,8.0,-66.0,83.84,64,96,8.34,overcast clouds
218,Bilma,NE,18.6853,12.9164,68.29,22,1,8.16,clear sky
219,Kismayo,SO,-0.3582,42.5454,78.21,83,90,7.2,light rain
220,Sangin,AF,32.0728,64.8359,48.67,42,0,2.68,clear sky
221,Sinnamary,GF,5.3833,-52.95,79.43,86,24,12.08,few clouds
222,Corner Brook,CA,48.9667,-57.9484,35.51,98,100,2.68,light rain
223,Upernavik,GL,72.7868,-56.1549,22.39,88,100,20.13,overcast clouds
224,Bellavista,PE,-7.0561,-76.5911,78.69,78,94,1.66,overcast clouds
225,Komsomolskiy,UZ,40.4272,71.7189,39.92,81,51,6.91,mist
226,Salinas,US,36.6777,-121.6555,65.01,55,0,10.36,clear sky
227,Hami,CN,42.8,93.45,33.55,48,100,2.1,overcast clouds
228,Baykit,RU,61.67,96.37,-6.02,98,98,4.34,overcast clouds
229,Torbay,CA,47.6666,-52.7314,46.76,92,75,20.71,broken clouds
230,Nyurba,RU,63.2842,118.3319,-30.35,100,87,2.64,overcast clouds
231,Hambantota,LK,6.1241,81.1185,75.65,86,100,5.55,overcast clouds
232,Kitui,KE,-1.367,38.0106,65.3,90,94,0.85,light rain
233,Havre,FR,49.5833,0.3333,49.77,93,0,9.22,clear sky
234,Ribeira Brava,PT,32.65,-17.0667,69.71,76,100,1.43,overcast clouds
235,Vangaindrano,MG,-23.35,47.6,70.83,91,100,6.46,light rain
236,Tsiroanomandidy,MG,-18.7667,46.0333,68.83,83,95,0.96,light rain
237,Aktau,KZ,43.65,51.2,45.18,62,97,20.74,overcast clouds
238,Adrar,MR,20.5022,-10.0711,79.88,21,94,9.73,overcast clouds
239,Wuzhou,CN,23.4833,111.3167,66.52,67,94,3.04,overcast clouds
